CODE IRIS;NOM IRIS;CODE INSEE COMMUNE;NOM COMMUNE;DEPARTEMENT;CAISSE REGIONALE;NOM AGENCE GROUPAMA;ID AGENCE GROUPAMA;ANNEE N DONNEES PORTEFEUILLE;ANNEE N-3 DONNEES INSEE;NB CONTRAT MRH AU 31 12 N;NB CONTRAT MRH POTENTIEL INSEE;PART DE MARCHE MRH;NB CONTRAT LOC APPART AU 31 12 N;NB CONTRAT LOC APPART POTENTIEL INSEE;PART DE MARCHE LOC APPART;NB CONTRAT LOC MAISON AU 31 12 N;NB CONTRAT LOC MAISON POTENTIEL INSEE;PART DE MARCHE LOC MAISON;NB CONTRAT PROPRIO APPART AU 31 12 N;NB CONTRAT PROPRIO APPART POTENTIEL INSEE;PART DE MARCHE PROPRIO APPART;NB CONTRAT PROPRIO MAISON AU 31 12 N;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE;PART DE MARCHE PROPRIO MAISON;PART DE MARCHE MRH DE LA CR;COMPARAISON PDM PROPRIO MAISON A LA PDM DE LA CR;COUT INONDATION ANNUEL MOYEN MODELISE PAR RISQUE;SCORING INONDATION;ZONIER INONDATION;COUT SECHERESSE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING SECHERESSE;ZONIER SECHERESSE;COUT GRELE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING GRELE;ZONIER GRELE;COUT CLIMATIQUE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING CLIMATIQUE;ZONIER CLIMATIQUE;INDICATEUR DEVELOPPEMENT COMMERCIAL;PROPORTION CONTRAT POTENTIEL PROPRIO MAISON;PROPORTION CONTRAT POTENTIEL PROPRIO APPART;PROPORTION CONTRAT POTENTIEL LOC MAISON;PROPORTION CONTRAT POTENTIEL LOC APPART;SCORE PONDERE DE DEVELOPPEMENT;NB CONTRAT POTENTIEL EN ZONE ROUGE;PART CONTRAT POTENTIEL EN ZONE ROUGE;NB CONTRAT POTENTIEL EN ZONE ORANGE ROUGE;PART CONTRAT POTENTIEL EN ZONE ORANGE ROUGE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 1 FORT POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 2 POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 3 FORT POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 4 POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 5 A VIGILANCE FORTE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 6 CRITIQUE;NB CONTRAT AUTRES PROFILS AU 31 12 N AUCUN CIBLAGE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 1 FORT POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 2 POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 3 FORT POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 4 POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 5 A VIGILANCE FORTE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 6 CRITIQUE;NB CONTRAT AUTRES PROFILS POTENTIEL INSEE AUCUN CIBLAGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE VERTE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ORANGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ROUGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP APPART;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN LOCATAIRE MAISON;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN LOCATAIRE APPART;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE VERTE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ORANGE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ROUGE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP APPART;ESTIM MARCHE COUT CLIM ANNUEL MOYEN LOCATAIRE MAISON;ESTIM MARCHE COUT CLIM ANNUEL MOYEN LOCATAIRE APPART;epci_code;epci_nom
50010000;Abriès-Ristolas (commune non irisée);05001;Abriès-Ristolas;5;GMED;AGCE GUILLESTRE;;2025;2022;39.0;960.7393;0.040594;4.0;52.84875;0.075688;0.0;19.817;0.0;18.0;573.355;0.031394;17.0;314.7185;0.054017;0.036441;SUREXPOSITION GROUPAMA;13.76;62.1;2;4.37;26.5;1 - <= 40;1.55;3.3;1 - ZONE VERTE GRELE;19.68;14.7;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.32758;0.596785;0.020627;0.055008;1.32758;0.0;0.0;0.0;0.0;;17.0;;;;;22.0;;314.7185;;;;;646.0208;914.0198477701888;0.0;0.0;188.1114426;0.0;5.902854456;16921.11502708601;0.0;0.0;5991.9242317735;147.530159486185;77.9896198578825;200067452;CC du Guillestrois et du Queyras
220390000;La Chèze (commune non irisée);22039;La Chèze;22;GLBR;AGENCE LOUDEAC;24136;2025;2022;66.0;461.0;0.143167;4.0;49.0;0.081633;9.0;44.0;0.204545;2.0;57.0;0.035088;51.0;311.0;0.163987;0.113839;SUREXPOSITION GROUPAMA;30.88;87.6;2;2.7;15.6;1 - <= 40;2.16;5.9;1 - ZONE VERTE GRELE;35.74;27.5;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.67462;0.123644;0.095445;0.106291;1.67462;0.0;0.0;0.0;0.0;;51.0;;;;;15.0;;311.0;;;;;150.0;2742.0595433105664;0.0;0.0;20.9012714;67.001636745;5.902854456;16721.18662685463;0.0;0.0;595.6862348999999;327.56355742;72.309967086;200067460;CC Loudéac Communauté - Bretagne Centre
120960000;Espalion (commune non irisée);12096;Espalion;12;GOC;AGENCE ESPALION;;2025;2022;508.0;4074.367;0.124682;85.0;697.1979;0.121917;12.0;120.4574;0.09962;156.0;1511.297;0.103223;255.0;1745.414;0.146097;0.081974;SUREXPOSITION GROUPAMA;44.6;93.8;3;12.24;44.5;"2 - ]40; 50]";29.46;64.9;2 - ZONE ORANGE GRELE;86.3;57.6;2 - ZONE ORANGE CLIMATIQUE;4 - Potentiel de Dev Cible;0.428389;0.370928;0.029565;0.171118;2.285167;0.0;0.0;1745.414;0.428389;;;;255.0;;;253.0;;;;1745.414;;;2328.953;0.0;29087.626283122816;0.0;1630.2991691999998;89.33551566;125.43565719;0.0;199097.84369149225;0.0;15794.0143815029;896.760328671907;1028.8644326822107;200067478;CC Comtal Lot et Truyère
577390000;Waldweistroff (commune non irisée);57739;Waldweistroff;57;GGE;SIERCK LES BAINS;;2025;2022;12.0;225.0;0.053333;1.0;8.0;0.125;0.0;7.0;0.0;0.0;12.0;0.0;11.0;198.0;0.055556;0.050717;SUREXPOSITION GROUPAMA;40.02;92.3;3;8.83;39.6;1 - <= 40;22.75;57.9;1 - ZONE VERTE GRELE;71.6;49.8;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.88;0.053333;0.031111;0.035556;1.88;0.0;0.0;0.0;0.0;;11.0;;;;;1.0;;198.0;;;;;27.0;591.4246073807104;0.0;0.0;0.0;0.0;1.475713614;10645.642932852788;0.0;0.0;125.4076284;52.112384135;11.805708912;200067486;CC Bouzonvillois-Trois Frontières
573790000;Landroff (commune non irisée);57379;Landroff;57;GGE;MORHANGE;;2025;2022;18.0;167.3839;0.107537;1.0;20.24871;0.049386;2.0;15.91862;0.125639;1.0;23.19353;0.043115;14.0;108.023;0.129602;0.050717;SUREXPOSITION GROUPAMA;45.68;94.1;3;55.75;68.9;"4 - ]60; 70]";27.85;63.3;2 - ZONE ORANGE GRELE;129.28;73.4;2 - ZONE ORANGE CLIMATIQUE;4 - Potentiel de Dev Cible;0.645361;0.138565;0.095102;0.120972;2.936083;0.0;0.0;108.023;0.645361;;;;14.0;;;4.0;;;;108.023;;;59.36086;0.0;1596.967717504782;0.0;10.4506357;14.88925261;1.475713614;0.0;12322.08883914422;0.0;242.3871326270209;118.5081771912991;29.88129701293794;200067502;CA Saint-Avold Synergie
230450000;Chambon-sur-Voueize (commune non irisée);23045;Chambon-sur-Voueize;23;GOC;AGENCE EVAUX LES BAINS;;2025;2022;76.0;804.2026;0.094504;3.0;49.75814;0.060292;19.0;92.70549;0.20495;1.0;61.12033;0.016361;53.0;600.6187;0.088242;0.081974;SUREXPOSITION GROUPAMA;13.26;60.6;2;9.35;40.4;"2 - ]40; 50]";42.78;75.2;2 - ZONE ORANGE GRELE;65.39;46.3;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.74685;0.076001;0.115276;0.061873;1.74685;0.0;0.0;0.0;0.0;;53.0;;;;;23.0;;600.6187;;;;;203.584;2849.591290107059;0.0;0.0;10.4506357;141.447899795;4.427140842;32292.788984819334;0.0;0.0;638.746302693781;690.1577294719144;73.42876460531795;200067544;CC Creuse Confluence
742810201;Centre Ville Ouest;74281;Thonon-les-Bains;74;GRAA;AGENCE DE THONON LES BAINS;;2025;2022;122.6915;3702.391;0.033138;41.22796;1091.754;0.037763;1.0;13.96409;0.071612;72.41149;2480.576;0.029191;8.05204;116.0978;0.069356;0.053637;SUREXPOSITION GROUPAMA;46.47;94.3;3;3.22;19.6;1 - <= 40;28.01;63.4;2 - ZONE ORANGE GRELE;77.7;53.3;2 - ZONE ORANGE CLIMATIQUE;4 - Potentiel de Dev Cible;0.031358;0.669993;0.003772;0.294878;1.094073;0.0;0.0;116.0978;0.031358;;;;8.05204;;;114.6395;;;;116.0978;;;3586.293;0.0;918.4891385755146;0.0;756.746102484193;7.444626305;60.84066184944744;0.0;13243.174190951908;0.0;25923.5961021632;103.95743173938746;1611.1162409389558;200067551;CA Thonon Agglomération
230050000;Arfeuille-Châtain (commune non irisée);23005;Arfeuille-Châtain;23;GOC;AGENCE AUZANCES;;2025;2022;19.0;180.0294;0.105538;0.0;5.19208;0.0;1.0;10.38416;0.096301;0.0;8.16769;0.0;18.0;156.2855;0.115174;0.081974;SUREXPOSITION GROUPAMA;3.06;1.9;1;2.46;13.6;1 - <= 40;52.25;81.4;2 - ZONE ORANGE GRELE;57.77;41.8;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.868111;0.045369;0.05768;0.02884;1.868111;0.0;0.0;0.0;0.0;;18.0;;;;;1.0;;156.2855;;;;;23.74393;967.7857211684352;0.0;0.0;0.0;7.444626305;0.0;8402.826406981638;0.0;0.0;85.35755270053299;77.3061906913288;7.662023140977119;200067593;CC Marche et Combraille en Aquitaine
630960000;Chas (commune non irisée);63096;Chas;63;GRAA;AGENCE DE PONT DU CHATEAU;;2025;2022;29.0;231.0;0.125541;1.0;8.0;0.125;1.0;33.0;0.030303;2.0;9.0;0.222222;25.0;181.0;0.138122;0.053637;SUREXPOSITION GROUPAMA;36.11;90.6;3;221.79;93.4;"11 - ]93; 94]";42.36;74.9;2 - ZONE ORANGE GRELE;300.26;94.6;3 - ZONE ROUGE CLIMATIQUE;6 - Critique;0.78355;0.038961;0.142857;0.034632;4.917749;181.0;0.78355;181.0;0.78355;;;;;;25.0;4.0;;;;;;181.0;50.0;0.0;0.0;6772.013310077626;20.9012714;7.444626305;1.475713614;0.0;0.0;49029.37636496201;94.0557213;245.672668065;11.805708912;200067627;CC Billom Communauté
440020000;Aigrefeuille-sur-Maine (commune non irisée);44002;Aigrefeuille-sur-Maine;44;GLBR;AGENCE AIGREFEUILLE;46002;2025;2022;270.0;1932.078;0.139746;11.0;74.87037;0.146921;25.0;221.4423;0.112896;12.0;115.2371;0.104133;222.0;1520.528;0.146002;0.113839;SUREXPOSITION GROUPAMA;4.27;11.7;1;4.41;26.7;1 - <= 40;4.74;17.1;1 - ZONE VERTE GRELE;13.42;8.7;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.786991;0.059644;0.114614;0.038751;1.786991;0.0;0.0;0.0;0.0;;222.0;;;;;48.0;;1520.528;;;;;411.5497;11936.0238944107;0.0;0.0;125.4076284;186.115657625;16.232849754;81752.5159464888;0.0;0.0;1204.3009512244698;1648.5551716197017;110.48722429421716;200067635;CA Clisson Sèvre et Maine Agglo
